query_id,query,method,rank,product_id,score,product_name,product_class,query_term_frequencies,preview
0,salon chair,TF-IDF,1,7465,1.264325,hair salon chair,Massage Chairs|Recliners,salon:5 | chair:2,"offers a wide selection of professional salon products including styling chair , salon hairdryer , salon equipment , etc . to showcase the uniqueness of each sa"
0,salon chair,TF-IDF,2,15612,1.123895,massage chair,Massage Chairs,salon:9 | chair:19,features heavy duty steel frame . premium chrome round base . heavy duty hydraulic pump make height adjustment easier . double-reinforced saddle sticking preven
0,salon chair,TF-IDF,3,33691,1.029945,lift chair office work chair beauty salon chair brown,Office Chairs,salon:1 | chair:3,
0,salon chair,TF-IDF,4,33689,0.946656,office chair work beauty salon chair brown,Office Chairs,salon:1 | chair:2,
0,salon chair,TF-IDF,5,33690,0.946656,office work chair beauty salon chair white,Office Chairs,salon:1 | chair:2,
0,salon chair,TF-IDF,6,20026,0.835604,ginata salon beauty drafting chair,Office Chairs,salon:1 | chair:1,
0,salon chair,TF-IDF,7,2187,0.823956,fashion casual lift chair office work chair beauty salon chair,,salon:1 | chair:3,it is a new product with absolutely no damage .
0,salon chair,TF-IDF,8,6167,0.771326,heilke fashion casual office beauty salon conference chair,,salon:1 | chair:1,
0,salon chair,TF-IDF,9,6168,0.771326,heilly fashion casual office beauty salon task chair,,salon:1 | chair:1,
0,salon chair,TF-IDF,10,40997,0.771326,fashion casual work beauty salon ergonomic task chair,,salon:1 | chair:1,
0,salon chair,BM25,1,15612,16.327998,massage chair,Massage Chairs,salon:9 | chair:19,features heavy duty steel frame . premium chrome round base . heavy duty hydraulic pump make height adjustment easier . double-reinforced saddle sticking preven
0,salon chair,BM25,2,7465,15.848762,hair salon chair,Massage Chairs|Recliners,salon:5 | chair:2,"offers a wide selection of professional salon products including styling chair , salon hairdryer , salon equipment , etc . to showcase the uniqueness of each sa"
0,salon chair,BM25,3,7468,14.986044,mercer41 hair salon chair hydraulic styling chair ( rose gold ),Massage Chairs,salon:10 | chair:4,"mercer41 beauty offers a wide selection professional beauty salon equipment including salon styling chair , salon hair dryer , barber pole light , etc . to show"
0,salon chair,BM25,4,7466,14.670939,reclining massage chair,Massage Chairs|Recliners,salon:9 | chair:3,"offers a wide selection of professional beauty salon equipment including salon styling chair , salon hairdryer , barber pole light , etc . to showcase the uniqu"
0,salon chair,BM25,5,7467,14.609801,reclining faux leather massage chair,Massage Chairs|Recliners,salon:9 | chair:3,"offers a wide selection of professional beauty salon equipment including salon styling chair , salon hairdryer , barber pole light , etc . to showcase the uniqu"
0,salon chair,BM25,6,25431,13.620889,barberpub salon massage chair,Massage Chairs,salon:2 | chair:2,salon chairs are a wonderful avenue for hairstylists and barbers to increase their revenue - have a comfortable chair for customers to enjoy during their visit 
0,salon chair,BM25,7,25432,13.193418,barberpub hydraulic salon spa reclining massage chair with ottoman,Massage Chairs|Recliners,salon:2 | chair:2,salon chairs are a wonderful avenue for hairstylists and barbers to increase their revenue - have a comfortable chair for customers to enjoy during their visit 
0,salon chair,BM25,8,33691,13.171174,lift chair office work chair beauty salon chair brown,Office Chairs,salon:1 | chair:3,
0,salon chair,BM25,9,33689,13.048171,office chair work beauty salon chair brown,Office Chairs,salon:1 | chair:2,
0,salon chair,BM25,10,33690,13.048171,office work chair beauty salon chair white,Office Chairs,salon:1 | chair:2,
0,salon chair,Jaccard,1,20026,0.25,ginata salon beauty drafting chair,Office Chairs,salon:1 | chair:1,
0,salon chair,Jaccard,2,33689,0.25,office chair work beauty salon chair brown,Office Chairs,salon:1 | chair:2,
0,salon chair,Jaccard,3,33690,0.25,office work chair beauty salon chair white,Office Chairs,salon:1 | chair:2,
0,salon chair,Jaccard,4,33691,0.222222,lift chair office work chair beauty salon chair brown,Office Chairs,salon:1 | chair:3,
0,salon chair,Jaccard,5,6167,0.2,heilke fashion casual office beauty salon conference chair,,salon:1 | chair:1,
0,salon chair,Jaccard,6,6168,0.2,heilly fashion casual office beauty salon task chair,,salon:1 | chair:1,
0,salon chair,Jaccard,7,40996,0.2,fashion casual work beauty salon task chair,Office Chairs,salon:1 | chair:1,
0,salon chair,Jaccard,8,40997,0.181818,fashion casual work beauty salon ergonomic task chair,,salon:1 | chair:1,
0,salon chair,Jaccard,9,5495,0.166667,executive chair,Office Chairs,salon:0 | chair:1,
0,salon chair,Jaccard,10,12410,0.166667,m37 chair cushion,Furniture Cushions,salon:0 | chair:1,
1,smart coffee table,TF-IDF,1,2648,1.328,marlowe coffee table,Coffee & Cocktail Tables,smart:0 | coffee:4 | table:1,
1,smart coffee table,TF-IDF,2,19750,1.248922,"a-37 coffee table in , matching coffee table",Coffee & Cocktail Tables,smart:0 | coffee:5 | table:2,
1,smart coffee table,TF-IDF,3,16877,1.188218,mendivil coffee table,Coffee & Cocktail Tables,smart:0 | coffee:6 | table:2,industrial modern coffee table
1,smart coffee table,TF-IDF,4,38673,1.188218,abdulsamet coffee table,Coffee & Cocktail Tables,smart:0 | coffee:6 | table:2,high gloss coffee table .
1,smart coffee table,TF-IDF,5,16878,1.184119,sahlberg coffee table,,smart:0 | coffee:4 | table:2,industrial modern coffee table
1,smart coffee table,TF-IDF,6,33290,1.159083,coffee table,Coffee & Cocktail Tables,smart:0 | coffee:5 | table:1,
1,smart coffee table,TF-IDF,7,605,1.098079,sled coffee table,Coffee & Cocktail Tables,smart:0 | coffee:5 | table:1,
1,smart coffee table,TF-IDF,8,1556,1.098079,merkley coffee table,Coffee & Cocktail Tables,smart:0 | coffee:5 | table:1,
1,smart coffee table,TF-IDF,9,4778,1.098079,modrest coffee table,Coffee & Cocktail Tables,smart:0 | coffee:5 | table:1,
1,smart coffee table,TF-IDF,10,6318,1.098079,emiliano coffee table,Coffee & Cocktail Tables,smart:0 | coffee:5 | table:1,
1,smart coffee table,BM25,1,34862,14.797664,sobro smart end table with built-in outlets,End Tables,smart:5 | coffee:1 | table:5,"the sobro smart side table is a next-generation nightstand that multi-tasks to support your connected lifestyle . with a wireless charging pad , thermoelectric "
1,smart coffee table,BM25,2,1308,13.823174,shaker coffee table,Coffee & Cocktail Tables,smart:1 | coffee:5 | table:1,the concave shape of their product takes a fresh spin on traditional styling for a look that blends smart design with classic elegance .
1,smart coffee table,BM25,3,21580,13.740259,sanibel 3 legs coffee table,Coffee & Cocktail Tables,smart:1 | coffee:4 | table:3,"the collection of sanibel tables will artfully satisfy every need , adding a sleek , modern touch to any environment sanibel occasional table becomes a small en"
1,smart coffee table,BM25,4,33698,11.956255,smart coffee table with storage,Coffee & Cocktail Tables,smart:2 | coffee:9 | table:7,"the sobro is a smart coffee table designed to support your connected lifestyle . with a refrigerated drawer , 2 bluetooth speakers , 2 usb charging ports , 4 11"
1,smart coffee table,BM25,5,20331,11.747187,crotzer coffee table,Coffee & Cocktail Tables,smart:1 | coffee:9 | table:14,the orren ellis coffee table is highly elegant and has a very simplistic design which makes it a very effective table for your living room . this coffee table h
1,smart coffee table,BM25,6,36649,10.544766,industrial revolution end table,End Tables|Nightstands,smart:1 | coffee:1 | table:4,"with a quirky industrial style and a screw post winding mechanism that adjusts tabletop height , this versatile table is ready to start its very own revolution "
1,smart coffee table,BM25,7,4291,10.023814,"brightech madison nightstand side table with built in lamp and usb port , black",End Tables,smart:2 | coffee:1 | table:8,"give your space the practical and modern decor it needs with the brightech madison side table with built-in lamp . this narrow , space-saving table-lamp combina"
1,smart coffee table,BM25,8,36315,9.731389,vandergriff wooden coffee table,Patio Tables,smart:1 | coffee:2 | table:1,"perfect for resting a tray of drinks , a favorite magazine , or an eye-catching floral display , coffee tables are a must-have in our home decor . take this one"
1,smart coffee table,BM25,9,5929,9.607092,"stainless steel 3 piece coffee , tea , & sugar set",Canisters & Jars,smart:1 | coffee:1 | table:0,"this smart and simple to use ebern designs® set of three 29 ounce stainless steel canisters keeps your dry goods fresh longer , while adding functionality and b"
1,smart coffee table,BM25,10,35972,9.391195,litedge wi-fi accessible smart power strip socket plate,Lighting Accessories,smart:6 | coffee:0 | table:0,"no matter how far away from home , you can use the litedge smart power strip to control all your home electronic appliances with your smartphone . it works with"
1,smart coffee table,Jaccard,1,2648,0.222222,marlowe coffee table,Coffee & Cocktail Tables,smart:0 | coffee:4 | table:1,
